dodac 4mm do kazdego dystansu (offset miedzy intelem a rama)

0.817
1.295
1.981
2.461
2.993
3.967
4.995
6.054
6.954
7.977
8.955
9.999 + filtry
4.982 + filtry
1.983 + filtry
